UC;Descrição
UC_INS_001_01_01.Pesquisar_Processo;Este caso de uso tem como objetivo pesquisar os processos, permitindo também a exclusão.
UC_INS_001_01_02.Manter_Processo;Este caso de uso tem como objetivo cadastrar ou alterar processos.
UC_INS_001_01_03.Manter_Hierarquia_Oferta;Este caso de uso tem como objetivo consultar a hierarquia de oferta, bem como adicionar, alterar ou excluir itens. Também é possível adicionar, alterar ou excluir ofertas.
UC_INS_001_01_04.Associar_Item_Hierarquia_Oferta;Este caso de uso tem como objetivo possibilitar a seleção dos tipos de item de hierarquia de oferta, para associação na hierarquia de oferta.
UC_INS_001_01_05.Manter_Oferta;Este caso de uso tem como objetivo cadastrar ou alterar ofertas.
UC_INS_001_01_06.Copiar_Processo;Este caso de uso tem como objetivo copiar processos e suas configurações.
UC_INS_001_01_07.Consultar_Periodo_Taxa;Este caso de uso tem como objetivo consultar as taxas e seus períodos associados às ofertas.
UC_INS_001_01_08.Selecionar_Ofertas_Manutencao_Taxa_Lote;Este caso de uso tem como objetivo selecionar ofertas para a inclusão ou exclusão de períodos de taxas em lote.
UC_INS_001_01_09.Manter_Periodo_Taxa;Este caso de uso tem como objetivo cadastrar períodos de taxas em lote.
UC_INS_001_01_10.Visualizar_Detalhes_Taxa;Este caso de uso tem como objetivo consultar os detalhes dos períodos de taxa de uma oferta.
UC_INS_001_01_11.Pesquisar_Configuracao_Notificacao;Este caso de uso tem como objetivo pesquisar as configurações de notificação de um processo, permitindo também a exclusão.
UC_INS_001_01_12.Manter_Configuracao_Notificacao;Este caso de uso tem como objetivo cadastrar ou alterar configurações de notificações de um processo.
UC_INS_001_01_13.Configurar_Envio_Notificacao;Este caso de uso tem como objetivo cadastrar ou alterar os parâmetros de envio de notificação.
UC_INS_001_03_01.Pesquisar_Associacao_Etapa_Processo;Este caso de uso tem como objetivo pesquisar as etapas associadas a um processo, permitindo também a exclusão.
UC_INS_001_03_02.Associar_Etapa_Processo;Este caso de uso tem como objetivo associar ou alterar associação de etapas a processos.
UC_INS_001_03_03.Pesquisar_Configuracao_Etapa;Este caso de uso tem como objetivo pesquisar as configurações de etapas, permitindo também a exclusão.  
UC_INS_001_03_04.Manter_Configuracao_Etapa;Este caso de uso tem como objetivo cadastrar ou alterar configurações de etapas.  
UC_INS_001_03_05.Copiar_Configuracoes_Etapa;Este caso de uso tem como objetivo copiar configurações e itens de configurações de uma etapa.
UC_INS_001_03_06.Configurar_Paginas_Etapa;Este caso de uso tem como objetivo configurar as páginas de uma configuração de etapa.  
UC_INS_001_03_07.Associar_Desassociar_Idioma;Este caso de uso tem como objetivo associar ou desassociar idiomas a configuração de páginas da etapa.  
UC_INS_001_03_08.Recuperar_Pagina;Este caso de uso tem como objetivo recuperar uma página excluida da configuração de etapa.  
UC_INS_001_03_09.Configurar_Pagina;Este caso de uso tem como objetivo configurar uma página na configuração de etapa  
UC_INS_001_03_10.Configurar_Pagina_Idioma;Este caso de uso tem como objetivo configurar uma página em um idioma  
UC_INS_001_03_11.Configurar_Texto;Este caso de uso tem como objetivo configurar o texto de uma seção de uma página no idioma.  
UC_INS_001_03_12.Configurar_Arquivos;Este caso de uso tem como objetivo configurar os arquivos de uma seção de uma página no idioma.  
UC_INS_001_03_13.Pesquisar_Documentacao_Requerida;Este caso de uso tem como objetivo pesquisar os documentos requeridos em uma configuração de etapa.
UC_INS_001_03_14.Manter_Documentacao_Requerida;Este caso de uso tem como objetivo cadastrar ou alterar os documentos requeridos em uma configuração de etapa.
UC_INS_001_03_15.Pesquisar_Grupo_Documentacao_Requerida;Este caso de uso tem como objetivo pesquisar os grupos de documento requeridos de uma configuração de etapa.
UC_INS_001_03_16.Manter_Grupo_Documentacao_Requerida;Este caso de uso tem como objetivo cadastrar ou alterar os grupos de documento requerido em uma configuração de etapa.  
UC_INS_001_03_17.Alterar_Periodo_Etapa_Processo;Este caso de uso tem como objetivo permitir a alteração do período da etapa de um processo.
UC_INS_001_04_01.Pesquisar_Tipo_Hierarquia_Oferta;Este caso de uso tem como objetivo pesquisar os tipos de hierarquia de oferta, permitindo também a exclusão.
UC_INS_001_04_02.Manter_Tipo_Hierarquia_Oferta;Este caso de uso tem como objetivo cadastrar ou alterar os dados de um tipo de hierarquia de oferta.
UC_INS_001_04_03.Montar_Tipo_Hierarquia_Oferta;Este caso de uso tem como objetivo consultar o tipo de hierarquia de oferta, bem como adicionar, alterar ou excluir itens da hierarquia.
UC_INS_001_04_04.Associar_Tipo_Item;Este caso de uso tem como objetivo possibilitar a seleção e configuração dos tipos de itens para associação ao tipo de  hierarquia de oferta.
UC_INS_001_05_01.Pesquisar_Tipo_Documento;Este caso de uso tem como objetivo consultar os tipos de documento associados, permitindo também a exclusão.
UC_INS_001_05_02.Manter_Tipo_Documento;Este caso de uso tem como objetivo manter o cadastro de tipo de documento, permitindo somente a associação de um novo tipo de documento.
